La marcatura CE apposta su determinati prodotti è irregolare se risulta essere;a) Leggibile;b) Indelebile;c) Visibile;d) Rimovibile;4
L'art. 474-bis cod. pen. prevede che:;"a) Nei casi di cui agli articoli 473 e 474 del codice di procedura penale è sempre ordinata la
confisca delle cose che servirono o furono destinate a commettere il reato e delle cose che ne sono l'oggetto, il prodotto, il prezzo o il profitto, a chiunque appartenenti";b) Nei casi di cui agli articoli 473 e 474 c.c. è sempre ordinata la confisca delle cose che servirono o furono destinate a commettere il reato e delle cose che ne sono l'oggetto, il prodotto, il prezzo o il profitto, a chiunque appartenenti;c) Nei casi di cui agli articoli 473 e 474 cod. pen. è sempre ordinata la confisca delle cose che servirono o furono destinate a commettere il reato e delle cose che ne sono l'oggetto, il prodotto, il prezzo o il profitto, a chiunque appartenenti;d) Nei casi di cui agli articoli 473 e 474 è sempre ordinato il sequestro delle cose che servirono o furono destinate a commettere il reato e delle cose che ne sono l'oggetto o il profitto, a chiunque appartenenti;3
L'art. 517 quater del c.p. - reato di contraffazione di indicazioni geografiche di origine dei prodotti agroalimentari - fa riferimento:;a) Alle scritte apposte sui prodotti agroalimentari di denominazione di origine protetta;b) All' alterazione criminosa dei marchi;c) Alla contraffazione criminosa dei brevetti;d) Alla contraffazione criminosa di prodotti agroalimentari di denominazione di origine controllata;1
L'Autorità competente a valutare i ricorsi contro le sanzioni applicate nei confronti dell'operatore commerciale che ha acquistato prodotti contraffatti è:;a) La Corte d'Appello;b) La Prefettura-Ufficio Territoriale del Governo;c) Il T.A.R;d) Il Tribunale;2
L'art. 4, comma 49-bis della Legge 24 dicembre 2003, n. 350 (Finanziaria 2004):;a) Ha previsto la contraffazione di merci o prodotti nel campo agroalimentare;"b) Ha disciplinato l'uso indebito del marchio da parte del titolare o del licenziatario, costituendo fallace indicazione in materia di ""made in Italy""";c) Prevede l'origine non preferenziale delle merci;"d) Ha disciplinato l'uso indebito del marchio da parte del titolare o del licenziatario, costituendo falsa indicazione in materia di ""made in Italy""";2
"L'articolo 11-bis, comma 2, del D.Lgs. 30/2005(c.d. ""Codice della proprietà industriale"" - CPI):";"a) Ha integrato la rubricadell'articolo 144 del D.Lgs.n. 30 del 2005 (c.d. ""Codicedella proprietàindustriale"" - CPI)";b) Dispone che le personefisiche o giuridiche, tra cuiistituzioni, autorità edorganismi accreditati aisensi della vigente normativa in materia di certificazione, a garantire l'origine, la natura o la qualità di determinati prodotti o servizi, possono ottenere la registrazione per appositi marchi come marchi di certificazione, a condizione che non svolgano un'attività che comporta la fornitura di prodotti o servizi del tipo certificato;c) Ha previsto a favore deiconsorzi nazionali cheoperano nei mercati esteriun'agevolazione pari al 50percento delle spese (fino ad un importo massimo annuale per soggetto beneficiario di 30 mila euro) sostenute per la tutela legale dei propri prodotti colpiti dal fenomeno dell'Italian Sounding nonché per la realizzazione di campagne informative e di comunicazione finalizzate a consentire l'immediata identificazione del prodotto italiano rispetto ad altri prodotti;d) Ha autorizzato ilMinistero per lo sviluppoeconomico ad assumere -per l'espletamento deinuovi compiti operativi previsti dal D.L. n. 34/2019 e attribuiti al medesimo Dicastero - dieci unità di personale, con contratto a tempo indeterminato;2
"Il comma 7 dell'articolo 32 del DL 30 aprile 2019, n. 34, convertito, con modificazioni, dalla legge n.58 del 2019 (c.d. ""decreto crescita 2019""):";a) Indica determinate caratteristiche, nomi oproprietà dei marchiregistrati in Italia;"b) Prevede il
riconoscimento alle start-up innovative, di cuiall'articolo 25 del decreto- legge 18 ottobre 2012, n. 179, del c.d. ""Voucher 3I - Investire in Innovazione"", al fine di supportarne la valorizzazione del processo di innovazione";c) Ha autorizzato il Ministero per lo sviluppoeconomico ad assumere -per l'espletamento dei nuovi compiti operativi previsti dal D.L. n. 34/2019 e attribuiti al medesimo Dicastero - dieci unità di personale, con contratto a tempo indeterminato;"d) Prevede l'utilizzo del marchio storico d'interessenon nazionale, ai sensidella quale i titolari o licenziatari esclusivi di marchi d'impresa - registrati da almeno cinquanta anni e che siano stati utilizzati per la commercializzazione di prodotti o servizi realizzati in un'impresa nazionale""di eccellenza,
storicamente collegata al territorio nazionale"" - possono ottenere l'iscrizione del marchio nelRegistro straordinario dei marchi storici di interesse non nazionale";2
"Il comma 8 dell'articolo 32 del DL 30 aprile 2019, n. 34, convertito, con modificazioni, dalla legge n.58 del 2019 (c.d. ""decreto crescita 2019""):";"a) Prevede che il c.d. ""Voucher 31 - Investire inInnovazione"" può essere utilizzato dalle imprese per l'acquisizione di servizi di consulenza relativi, in particolare, alla verifica della brevettabilità dell'invenzione e alla stesura della domanda di brevetto e di deposito presso l'Ufficio italiano brevetti e marchi";b) Indica determinate caratteristiche, nomi oproprietà dei marchi registrati in Italia;"c) Reca la disciplina del marchio storico d'interessenazionale, ai sensi della quale i titolari o licenziatari esclusivi di marchi d'impresa - registrati da almeno cinquanta anni e che siano stati utilizzati per la commercializzazione di prodotti o servizi realizzati in un'impresa nazionale ""di eccellenza, storicamente collegata al territorio nazionale"" - possono ottenere l'iscrizione del marchio nelRegistro speciale dei marchi storici di interesse nazionale";d) Elenca i marchi registrati e che non hannochiare origini italiane;1
"Il comma 14 dell'articolo 32 del DL 30 aprile 2019, n. 34, convertito, con modificazioni, dalla legge n.58 del 2019 (c.d. ""decreto crescita 2019""):";"a) Ha integrato la rubrica dell'articolo 144 del D.Lgs.n. 30 del 2005 (c.d. ""Codicedella proprietàindustriale"" - CPI)";b) Ha autorizzato il Ministero per lo sviluppoeconomico ad assumere -per l'espletamento deinuovi compiti operativi previsti dal D.L. n. 34/2019 e attribuiti al medesimo Dicastero - dieci unità di personale, con contratto a tempo indeterminato;c) Prevede che il Ministero dello Sviluppo Economicoesercita la supervisionesull'attività dei titolari deimarchi collettivi e di certificazione ammessi alle agevolazioni, vigilando sul corretto uso del marchio e sull'espletamento dei controlli previsti dai rispettivi disciplinari;d) Ha previsto a favore dei consorzi nazionali cheoperano nei mercati esteriun'agevolazione pari al 50percento delle spese (fino ad un importo massimo annuale per soggetto beneficiario di 30 mila euro) sostenute per la tutela legale dei propri prodotti colpiti dal fenomeno dell'ItalianSounding nonché per la realizzazione di campagne informative e di comunicazione finalizzate a consentire l'immediata identificazione del prodotto italiano rispetto ad altri prodotti;3
L'art. 145, 1° comma, del Codice della proprietàindustriale:;a) Ha previsto a favore deiconsorzi nazionali cheoperano nei mercati esteriun'agevolazione pari al 50percento delle spese (fino ad un importo massimo annuale per soggetto beneficiario di 30 mila euro) sostenute per la tutela legale dei propri prodotti colpiti dal fenomeno dell'Italian Sounding nonché per la realizzazione di campagne informative e di comunicazione finalizzate a consentire l'immediata identificazione del prodotto italiano rispetto ad altri prodotti;"b) Ha integrato la rubricadell'articolo 144 del D.Lgs.n. 30 del 2005 (c.d. ""Codicedella proprietàindustriale"" - CPI)";c) Prevede che presso ilMinistero dello sviluppoeconomico è istituito ilConsiglio nazionale per lalotta alla contraffazione e all'Italian Sounding, con funzioni di indirizzo, impulso e coordinamento delle azioni strategiche intraprese da ogni amministrazione, al fine di migliorare l'insieme dell'azione di contrasto della contraffazione a livello nazionale e della falsa evocazione dell'origine italiana;d) Ha autorizzato ilMinistero per lo sviluppoeconomico ad assumere -per l'espletamento deinuovi compiti operativi previsti dal D.L. n. 34/2019 e attribuiti al medesimo Dicastero - dieci unità di personale, con contratto a tempo indeterminato;3
L'art. 145, 2° comma, del Codice della proprietàindustriale:;a) Ha autorizzato ilMinistero per lo sviluppoeconomico ad assumere -per l'espletamento dei nuovi compiti operativi previsti dal D.L. n. 34/2019 e attribuiti al medesimo Dicastero - dieci unità di personale, con contratto a tempo indeterminato;b) Prevede che Il Consiglionazionale per la lotta allacontraffazione e all' ItalianSounding è presieduto dal Ministro dello sviluppo economico o da un rappresentante da lui designato;"c) Prevede l'utilizzo delmarchio storico d'interessenon nazionale, ai sensidella quale i titolari o licenziatari esclusivi di marchi d'impresa - registrati da almeno cinquanta anni e che siano stati utilizzati per la commercializzazione di prodotti o servizi realizzati in un'impresa nazionale""di eccellenza,
storicamente collegata al territorio nazionale"" - possono ottenere l'iscrizione del marchio nelRegistro straordinario dei marchi storici di interesse non nazionale";d) Indica determinatecaratteristiche, nomi oproprietà dei marchiregistrati in Italia;2
L'articolo 25, comma 2, del DL n. 179 del 2012:;a) Elenca i marchi registrati e che non hannochiare origini italiane;b) Indica determinate caratteristiche, nomi oproprietà dei marchi registrati in Italia;"c) Stabilisce, in
particolare, che l'impresastart-up innovativa è la società di capitali - costituita anche in forma cooperativa - che possiede, tra l'altro, i requisiti indicati da tale norma";"d) Prevede l'istituzione, con apposito decreto delMinistro dell'Economia e delle Finanze, del logo dei ""marchi storici di interesse internazionale"", che può essere utilizzato dalle imprese iscritte nel relativoRegistro speciale per finalità commerciali e promozionali";3
"I commi 16 e 17, dell'articolo 32 del DL 30 aprile2019, n. 34, convertito, con modificazioni, dallalegge n. 58 del 2019 (c.d. ""decreto crescita 2019""), prevedono:";"a) L'utilizzo del marchiostorico d'interesse nonnazionale, ai sensi della quale i titolari o licenziatari esclusivi di marchi d'impresa - registrati da almeno cinquanta anni e che siano stati utilizzati per la commercializzazione di prodotti o servizi realizzati in un'impresa nazionale""di eccellenza,
storicamente collegata al territorio nazionale"" - possono ottenere l'iscrizione del marchio nelRegistro straordinario dei marchi storici di interesse non nazionale";"b) L'apertura della c.d.""fase nazionale"" delledomande internazionali di brevetto secondo il Patent cooperation treaty (PCT), ratificato e posto in esecuzione nell'ordinamento italiano con la legge 26 maggio 1978, n. 260";c) Determinatecaratteristiche, nomi oproprietà dei marchi registrati in Italia;d) Le modalità difunzionamento delConsiglio nazionale per la lotta alla contraffazione e all'Italian Sounding;2
"Il comma 17, dell'articolo 32 del DL 30 aprile2019, n. 34, convertito, con modificazioni, dallalegge n. 58 del 2019 (c.d. ""decreto crescita 2019""), dispone:";a) Determinatecaratteristiche, nomi oproprietà dei marchi registrati in Italia;b) Le modalità difunzionamento delConsiglio nazionale per la lotta alla contraffazione e all'Italian Sounding;"c) Che l'utilizzo delmarchio storico d'interessenon nazionale, ai sensi della quale i titolari o licenziatari esclusivi di marchi d'impresa - registrati da almeno cinquanta anni e che siano stati utilizzati per la commercializzazione di prodotti o servizi realizzati in un'impresa nazionale""di eccellenza,
storicamente collegata al territorio nazionale"" - possono ottenere l'iscrizione del marchio nelRegistro straordinario dei marchi storici di interesse non nazionale";d) Che la richiesta diapertura della proceduranazionale, da presentare all'Ufficio italiano brevetti e marchi per la concessione del brevetto italiano per invenzione industriale o modello di utilità, debba essere accompagnata, tra l'altro, da una traduzione italiana completa della domanda internazionale;4
"Il DL sulla competitività del 10 febbraio, n. 35, convertito dalla legge 14 maggio 2005, n. 80, contenente misure a tutela del ""Made in Italy"", tra l'altro:";a) Suggerisce delle regole minime di buon senso da seguire, in generale, all'atto dell'acquisto di prodotti che potrebbero recare marchi contraffatti, prevedendo anche una sanzione amministrativa per l'acquirente finale all'art. 1, comma 7;b) Disciplina le modalità di funzionamento del Consiglio nazionale per la lotta alla contraffazione e all'Italian Sounding;c) Prevede che le persone giuridiche di diritto pubblico e le associazioni di categoria di fabbricanti, produttori, prestatori di servizi o commercianti, possono ottenere la registrazione di marchi collettivi che non hanno la facoltà di concedere in uso a produttori o commercianti;d) Dispone che la richiesta di apertura della procedura nazionale, da presentare all'Ufficio italiano brevetti e marchi per la concessione del brevetto italiano per invenzione industriale o modello di utilità, debba essere accompagnata, tra l'altro, da una traduzione italiana completa della domanda internazionale;1
Per quanto concerne l'indeducibilità dei costi edelle spese riconducibili alle condotte dicontraffazione:;a) il legislatore non hacircoscritto tali ipotesi, aifini delle imposte indirette, ai soli costi e spese relativia beni o prestazioni diservizi direttamenteutilizzati per ilcompimento di attiqualificabili come delittonon colposo, per i quali ilP.M. non abbia esercitato l'azione penale;b) il legislatore hacircoscritto tali ipotesi, aifini dell'IVA, ai soli costi e spese relativi a beni oprestazioni di servizidirettamente utilizzati peril compimento di attiqualificabili come delittocolposo, per i quali il P.M.non abbia esercitatol'azione penale;c) il legislatore hacircoscritto tali ipotesi, aifini delle imposte sui redditi, ai soli costi e speserelativi a beni o prestazionidi servizi direttamenteutilizzati per ilcompimento di attiqualificabili come delittonon colposo, per i quali ilP.M. abbia esercitato l'azione penale oppure il giudice abbia emesso il decreto che dispone il giudizio, o ancora la sentenza di non luogo a procedere per intervenuta prescrizione del reato;d) il legislatore non hacircoscritto tali ipotesi, aifini delle imposte sui redditi, ai soli profittirelativi a beni o prestazionidi servizi direttamenteutilizzati per ilcompimento di attiqualificabili come delittocolposo, per i quali il P.M.non abbia esercitato l'azione penale;3
La piattaforma del Sistema InformativoAnticontraffazione (S.I.A.C.) è stata concepitaanche per:;"a) realizzare unasostanziale integrazionefunzionale degli applicatividi registrazione dei dati, ma non informazione eanalisi nello specificosettore, sulla base delprincipio ""2interventi/sequestri dimerce contraffatta = 1 solo adempimento""";"b) realizzare unasostanziale integrazionefunzionale degli applicatividi registrazione dei dati, informazione e analisi nellospecifico settore, sulla basedel principio ""1intervento/sequestro dimerce contraffatta = 1 soloadempimento""";"c) non realizzare unasostanziale integrazionefunzionale degli applicatividi registrazione dei dati, informazione e analisi nellospecifico settore, sulla basedel principio ""1intervento/sequestro dimerce contraffatta = 1 soloadempimento""";"d) realizzare unasostanziale parificazionedegli applicativi diregistrazione dei dati, informazione e analisi nelsettore delle frodicomunitatie, sulla base delprincipio ""2 interventi inmateria di percezioniindebite = 1 solo adempimento""";2
In tema di lotta alla contraffazione, quale dei seguenti provvedimenti non rientra tra le misure di sicurezza patrimoniali applicabili;a) Confisca facoltativa delle cose che servirono o furono destinate a commettere il reato e delle cose che ne sono l'oggetto, il prodotto, il prezzo o il profitto, a chiunque appartenenti;"b) Confisca dei beni ""per equivalente""";"c) Confisca ""per sproporzione""";d) Confisca obbligatoria delle cose che servirono o furono destinate a commettere il reato e delle cose che ne sono l'oggetto, il prodotto, il prezzo o il profitto, a chiunque appartenenti;1
La Camera di Commercio Industria Artigianato e Agricoltura (C. C. I. A. A.) competente irroga le sanzioni per violazione alle norme in materia di sicurezza dei giocattoli, di cui all'art. 31 del D. Lgs. n. 54/2011?;a) No, provvede la Prefettura - Ufficio Territoriale del Governo competente;b) Sì;c) No, provvede il Tribunale competente;d) No, provvede il Giudice di Pace competente;2
Ai sensi del D. Lgs. n. 159/2011 nonché della giurisprudenza di legittimità, in materia di contraffazione, è possibile applicare le misure di prevenzione patrimoniali?;a) Mai;b) Sì, ma solo nei confronti degli appartenenti ad associazioni di stampo mafioso;"c) Sì, ma solo al
contraffattore che compia anche un reato tributario";d) Sì;4
Il decreto legislativo n. 159/2011 (c.d. Codice Antimafia) ha previsto nei confronti dei soggetti implicati in fattispecie di associazione a delinquere finalizzata alla contraffazione:;a) Il reato transnazionale;b) L'arresto obbligatorio in flagranza;c) L'interdizione legale;d) Il ricorso alle misure di prevenzione patrimoniale;4
Nelle attività d'indagine per il reato di contraffazione è possìbile procedere ad acquisti simulati sulla rete internet?;a) No;b) Sì, ma solo se autorizzati dal Ministero dello Sviluppo Economico;c) Sì, ma solo se il reato è commesso a danno di minori;d) Sì;4
"Ai sensi dell'art. 12 del D.lgs.. 206/2005 - Codice al consumo- il rapporto redatto, sulla scorta ex art. 17 della L. n. 689/1981, dagli organi competenti che abbiano accertato la violazione al ""contenuto minimo delle informazioni"" va inoltrato";a) Alla Procura della Repubblica competente;b) Alla Camera di Commercio Industria Artigianato e Agricoltura (C.C.I.A.A.) della Provincia in cui vi è la residenza o la sede legale del professionista;c) Alla Prefettura - Ufficio Territoriale del Governo competente;d) Alla Camera di Commercio Industria Artigianato e Agricoltura (C.C.I.A.A.) del Comune competente all'accertamento;2
L'uso del marchio, ai sensi della legge n. 350/2003, da parte del titolare o del licenziatario, con modalità tali da indurre il consumatore a ritenere che il prodotto sia di origine italiana è punito con;a) La sanzione dell'arresto;b) La sanzione della reclusione;c) La sanzione della multa;"d) Una sanzione
amministrativa pecuniaria";4
Nelle indagini per il reato di contraffazione è possibile porre in essere ritardi di atti di polizia giudiziaria?;"a) Sì, ma solo se il
fenomeno è transnazionale";b) Sì;c) No;d) Sì, ma solo se il fenomeno è nazionale;2
Le operazioni speciali, in materia di contraffazione, sono state inserite:;a) Non sono state inserite da alcuna norma;"b) Dal D.lgs. n. 74/2000;";c) Dal D.lgs. n. 231/2001;d) Dalla legge n. 99/2009;4
Le opere che sono di dominio pubblico non sono protette legalmente;a) Falso;b) Vero;c) Solo se richiesto dalla comunità;d) Solo se cinematografiche;2
"Il reato di cui all'art. 474 c.p., rubricato ""introduzione nello Stato e commercio di prodotti con segni falsi"", è volto a tutelare la fede pubblica?";a) Vero;b) Falso, è volto a tutelare i clienti dei produttori;c) Falso, è volto a tutelare i consumatori finali;d) Nessuna delle alternative proposte è corretta;1
Salvo che il fatto costituisca più grave reato, il fabbricante o l'importatore che immette sul mercato prodotti in violazione degli articoli 3, comma 1, e 5, comma 2 del Decreto legislativo 11 aprile 2011,n. 54 è sanzionato:;a) con la reclusione fino a due anni e con la multa da 5.000 a 25.000 euro;b) con l'ammenda fino a 5.000 euro;c) con l'arresto fino a un anno e con l'ammenda da 10.000 a 50.000 euro;d) con l'arresto da sei mesi ad un anno e con l'ammenda da 10.000 a 50.000 euro;3
"L'art. 4, comma 49 della legge 350 del 2003 disciplina la tutela penale del ""made in Italy""?";a) Falso, è la tutela della privacy;b) Vero;c) Falso, la tutela del libero commercio;d) Nessuna delle alternative proposte è corretta;2
"Nel report ""2015 Situation Report on Counterfeiting in the European Union. A joint project between Europol and European Union Intellectual Property Office"", pubblicato dall'EUIPO in collaborazione con Europol, si evidenzia che:";a) L'azione di contrasto alle violazioni dei diritti di proprietà intellettuale in Rete sconta, storicamente, alcuni limiti dettati dal livello di sviluppo tecnologico di internet, che rende difficile l'identificazione di chi commette reati online;b) Eurojust ha lo scopo di favorire la collaborazione tra le Autorità Giudiziarie dell'Unione Europea in materia di contraffazione e sicurezza prodotti;c) L'EUIPO (European Union Intellectual Property Office) ha competenza in materia di prevenzione e repressione delle frodi nel settore assicurativo;d) L'EUIPO (European Union Intellectual Property Office) ha competenza in materia di prevenzione e repressione delle frodi nel settore agroalimentare;1
"La dottrina giuridica ha definito il reato di ""contraffazione"" come reato plurioffensivo, in quanto:";a) È un delitto che concorre con il contrabbando;b) Lede i beni giuridici di una pluralità di soggetti attivi;c) Lede i beni giuridici di una pluralità di soggetti passivi;d) È un delitto sia a dolo generico che specifico;3
L'art. 4, comma 49, della L. 24 dicembre 2003, n. 350, in materia di prodotti recanti false o fallaci indicazioni di provenienza o di origine, ai soli fini sanzionatori rinvia;a) All'art. 517 c.p.p.;b) All'art. 416 bis c.p.;c) All'art. 648 c.p.;d) All'art. 517 c.p.;4
Per falsa indicazione, nell'art. 4, comma 49, della L. 24 dicembre 2003, n. 350, si deve intendere:;"a) La stampigliatura ""made in UE"" su prodotti
e merci non originari dell'Italia ai sensi della normativa europea sull'origine";b) Un uso di segni, figure o quant'altro che possano indurre il consumatore a ritenere che il prodotto o la merce siano di origine italiana;c) La contraffazione di una merce o un prodotto;"d) La stampigliatura ""Made in Italy"" su prodotti e merci non originari dell'Italia ai sensi della normativa europea sull'origine";4
La contraffazione comporta un doppio effetto negativo per gli operatori economici:;a) Il lucro emergente, derivante dalla mancata vendita dei prodotti, il danno emergente della perdita di valore del diritto di proprietà industriale;b) Il lucro cessante, derivante dalla mancata vendita dei prodotti, il danno emergente della perdita di valore del diritto di possesso industriale;c) Il lucro cessante, derivante dalla mancata vendita dei prodotti, il danno erariale della perdita di valore del diritto di proprietà industriale;d) Il lucro cessante, derivante dalla mancata vendita dei prodotti, il danno emergente della perdita di valore del diritto di proprietà industriale;4
L'art. 145, 3° comma, del Codice della proprietà industriale cosa disciplina?;a) Le caratteristiche, nomi o proprietà dei marchi registrati in Italia;b) Il marchio storico d'interesse nazionale.;c) Le modalità di funzionamento del Consiglio nazionale per la lotta alla contraffazione e all'Italian Sounding sono definite con decreto del Ministro dello Sviluppo Economico.;d) I marchi registrati e che non hanno chiare origini italiane;3
Con quale provvedimento legislativo, l'Accordo di Madrid è stato recepito dall'ordinamento italiano:;a) dalla L. 4 luglio 1967, n. 676;b) dal D.P.R. 26 febbraio 1968, n. 656;"c) dal Trattato di Lisbona del 31 ottobre 1958;";d) dalla Legge n. 99/2009;1
Qual è la finalità della Direttiva 2001/95/CE?;a) Stabilire a livello comunitario le norme di distribuzione di tutti i prodotti destinati ai consumatori;b) Stabilire a livello comunitario un obbligo generale di sicurezza per tutti i prodotti destinati ai consumatori;c) Garantire che i prodotti comunitari rispettino gli standard di qualità per tutti i prodotti destinati ai consumatori;d) Stabilire a livello comunitario i requisiti minimi per la fabbricazione dei prodotti destinati ai consumatori;2
Sono considerati prodotti di origine italiana, in base alla normativa unionale sull'origine:;a) I prodotti realizzati sul territorio nazionale utilizzando esclusivamente componenti di origine italiana ed inviati all'estero per essere semplicemente assemblati, confezionati ed etichettati, che non subiscano nello stabilimento estero una trasformazione sostanziale;b) I prodotti realizzati sul territorio nazionale utilizzando esclusivamente componenti di origine straniera ed inviati all'estero per essere semplicemente assemblati, confezionati ed etichettati, che subiscano nello stabilimento estero una trasformazione sostanziale;c) I prodotti realizzati sul territorio estero utilizzando in parte componenti di origine italiana e riinviati in Italia per essere semplicemente assemblati, confezionati ed etichettati;d) I prodotti realizzati sul territorio nazionale utilizzando in parte componenti di origine italiana ed inviati all'estero per essere semplicemente assemblati, confezionati ed etichettati, che non subiscano nello stabilimento estero una trasformazione sostanziale;1
La marcatura CE è un simbolo grafico preciso, in caso di ingrandimento o riduzione devono obbligatoriamente rispettare le proporzioni indicate e la dimensione verticale non può essere inferiore a:;a) 5 mm;b) 10 mm;c) 15 mm;d) 8 mm;1
La piattaforma del Sistema Informativo Anticontraffazione (S.I.A.C.) dispone, anche:;"a) dell'applicativo COLIBRI (Comodità On Line Brand Inquiry) che consente un'azione di contrasto mirata ai sodalizi mafiosi, rilevando la presenza di annunci proponenti la vendita di droga e beni ""dual use""";b) dell'applicativo COLIBRI (Convenienza Online Brand Inquiry) che consente un'azione di contrasto mirata alla rete delle truffe aggravate in ambito previdenziale, rilevando la presenza di annunci proponenti la vendita di materiale sanitario;"c) dell'applicativo
COLIBRI (Contraffazione Online Brand Inquiry) che consente un'azione di contrasto mirata alla rete della criminalità organizzata, rilevando la presenza di annunci proponenti la vendita di materiale contraffatto";"d) dell'applicativo
COLIBRI (Contraffazione Online Brand Inquiry) che consente un'azione di contrasto mirata alla rete internet, rilevando la presenza, nei principali siti dedicati all'e-commerce, di annunci proponenti la vendita di materiale contraffatto";4
Cosa deve intendersi per riproduzione capziosa di un marchio tale da poter determinare confusione con quello originale?;a) Riproduzione di un marchio.;b) Alterazione di un marchio.;c) Simulazione di marchio.;d) nulla.;2
"Nel corso della mappatura ai fini dell'applicazione del ""Dispositivo operativo per il contrasto alla contraffazione ed all'abusivismo commerciale organizzato"", i Reparti della Guardia di Finanza effettuano il monitoraggio:";a) attraverso una ricognizione fisica del territorio provinciale previa delega del Prefetto competente, analizzando i risultati di servizio tramite l'applicativo SIAF SIAC e intensificando l'azione di intelligence.;b) attraverso una ricognizione fisica del territorio provinciale, analizzando i risultati di servizio tramite l'applicativo S.I.A.C., intensificando l'azione di intelligence.;c) attraverso una ricognizione fisica del territorio regionale, analizzando i risultati di servizio tramite l'applicativo S.I.A.C., ma non intensificando l'azione di intelligence.;d) attraverso una ricognizione fisica del territorio regionale, intensificando l'azione di intelligence e assumendo contatti con le Associazioni di categoria o enti di studio interessati al fenomeno.;2
Dove è istituito il registro speciale dei marchi storici come definiti dall'articolo 11-ter. Dlgs 30/2005?;a) presso la sede centrale della Banca di Italia;b) presso l'ufficio italiano brevetti e marchi;c) presso l'apposito ufficio del M.I.S.E.;d) presso la sede centrale dell'agenzia delle entrate;2
È sempre disposta la confisca delle cose che ne sono l'oggetto, il prodotto, il prezzo o il profitto (del reato), a chiunque appartenenti, nei casi degli artt. 473 e 474 del codice penale?;a) Soltanto se l'oggetto, il prodotto, il prezzo o il profitto (del reato) superano il valore di euro cinquecentomila.;b) Si, secondo l'articolo 474 bis del codice penale.;c) No.;d) Soltanto se l'oggetto, il prodotto, il prezzo o il profitto (del reato) sono inferiori al valore di euro cinquecentomila.;2
Per Italian Sounding nel particolare comparto dell'agroalimentare si intende:;a) l'uso di una ricetta registrata in Italia;b) l'uso di una ricetta non registrata ma che ha chiare origini italiane;c) l'uso di una ricetta non registrata ma che non ha chiare origini italiane;d) l'uso di una ricetta registrata ma che ha chiare origini italiane;2
Salvo che il fatto costituisca reato, il produttore che non ottempera al provvedimento di divieto dell'autorità di vigilanza di immissione di un giocattolo, con marcatura CE irregolare, sul mercato è soggetto:;"a) Alla sanzione
amministrativa da 1.500 a 5.000 euro";"b) Alla sanzione
amministrativa da 2.500 a 15.000 euro";"c) Alla sanzione
amministrativa da 2.500 a 10.000 euro";d) Alla multa fino a 10.000 euro;3
Il produttore che immette sul mercato un giocattolo privo del marchio CE è soggetto:;"a) Alla sanzione
amministrativa da 2.500 a 10.000 euro";b) Alla multa da 5.000 a 20.000 euro;"c) Alla sanzione
amministrativa da 2.500 a 30.000 euro, salvo che il fatto non costituisca reato";"d) Alla sanzione
amministrativa da 6.000 a 16.000 euro";3
L'art. 514 c.p. rubricato frodi contro le industrie nazionali al 1° comma prevede l'applicazione:;a) dell'arresto fino a un anno e dell'ammenda da euro 500 a euro 3.000;b) della reclusione da uno a cinque anni e della multa non inferiore a euro 516;c) della reclusione da uno a tre anni e della multa fino a euro 500;d) dell'arresto fino a tre mesi e dell'ammenda da euro 100 a euro 500;2
Qualora un gruppo criminale organizzato, che pone in essere reati previsti dall'art. 474 c.p. in materia di contraffazione, dovesse operare in diversi Stati:;a) Si potrà configurare il reato di associazione a delinquere ex art. 416 c.p.;b) Si potrà configurare il reato di associazione a delinquere di stampo mafioso ex art. 416 bis c.p.;c) Bisognerà attivare i canali di cooperazione internazionale;d) Si potrà configurare il reato transanzionale, ai sensi dell'art. 3 della L. n. 146/2006;4
La condotta di contraffazione punita dall'art. 474 c.p. rubricato, introduzione nello Stato e commercio di prodotti con segni falsi, è:;a) Un illecito amministrativo;b) Un reato societario;c) Un reato tributario;d) Un delitto;4
L'art. 1, comma 7, del D.L. n. 35/2005, nel caso di operatore commerciale o importatore o qualunque altro soggetto diverso dall'acquirente finale che proceda all'acquisto di merce contraffatta, salvo che il fatto non costituisca reato prevede:;"a) La sanzione
amministrativa da 100 a 7.000 euro";"b) La sanzione
amministrativa da 500.000 fino a un milione di euro nonché la confisca amministrativa dei locali ove vengono prodotti, depositati, detenuti per la vendita o venduti i materiali contraffatti";"c) La sanzione
amministrativa da 20.000 fino a un milione di euro nonché la confisca amministrativa dei locali ove vengono prodotti, depositati, detenuti per la vendita o venduti i materiali contraffatti";d) La reclusione da uno a tre anni e la confisca penale dei locali ove vengono prodotti, depositati, detenuti per la vendita o venduti i materiali contraffatti;3
"E' possibile procedere ad effettuare la confisca ""per equivalente"" in materia di delitti legati alla contraffazione:";a) Vero, in caso di impossibilità di risalire ai vantaggi direttamente scaturenti dal reato di contraffazione;b) Falso, solo in caso di reato transnazionale;c) Falso, è prevista solo la confisca delle cose che furono destinate a commettere il reato di contraffazione;d) Falso;1
L'articolo 474 codice penale punisce:;a) L'esportazione di prodotti con segni falsi;"b) La produzione nello
Stato e il commercio di
prodotti con segni falsi";c) L'introduzione nello Stato e commercio di prodotti con segni fallaci;d) L'introduzione nello Stato e commercio di prodotti con segni falsi;4
